epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.84,1.04811,1.94246,1.21732,0.68129,0.60867,0.68133,0.47662,1.0533,1.35676,1.25653,0.000367881,0.000367881,0.000367881
2,203.85,1.02091,1.2398,1.1932,0.56655,0.54156,0.58454,0.3667,1.19562,1.62578,1.40284,0.000689492,0.000689492,0.000689492
3,294.37,1.0225,1.08084,1.20168,0.66571,0.60887,0.65407,0.40235,1.25907,1.43199,1.50804,0.000962219,0.000962219,0.000962219
4,385.394,1.00878,0.97859,1.19631,0.65758,0.62802,0.66169,0.39576,1.20432,1.23568,1.39763,0.000891022,0.000891022,0.000891022
5,475.905,0.9843,0.90136,1.18214,0.78188,0.70651,0.78649,0.5732,1.00002,0.90445,1.23146,0.000817696,0.000817696,0.000817696
6,583.188,1.03891,0.84702,1.20664,0.7505,0.68282,0.76289,0.54528,1.01587,0.95142,1.25375,0.00074437,0.00074437,0.00074437
7,670.908,1.01792,0.78661,1.19362,0.80044,0.73072,0.82042,0.60338,0.98192,0.81566,1.20845,0.000671044,0.000671044,0.000671044
8,757.993,0.99992,0.74823,1.17763,0.79164,0.75588,0.83968,0.62114,0.96328,0.79003,1.20022,0.000597718,0.000597718,0.000597718
9,845.419,0.98568,0.71783,1.16852,0.7863,0.73611,0.81243,0.60685,0.95282,0.83074,1.18469,0.000524392,0.000524392,0.000524392
10,932.205,0.97307,0.6903,1.15932,0.83197,0.77824,0.86303,0.65409,0.91468,0.69319,1.1608,0.000451066,0.000451066,0.000451066
11,1019.18,0.95896,0.66491,1.14581,0.84934,0.77494,0.86483,0.6557,0.90737,0.68006,1.14633,0.00037774,0.00037774,0.00037774
12,1106.28,0.94332,0.63992,1.13686,0.84048,0.78499,0.86889,0.66558,0.90102,0.66587,1.14119,0.000304414,0.000304414,0.000304414
13,1193.78,0.93079,0.61471,1.12767,0.8564,0.79883,0.87827,0.67849,0.8844,0.63722,1.12629,0.000231088,0.000231088,0.000231088
14,1280.66,0.91755,0.59374,1.11898,0.85964,0.81085,0.89009,0.68775,0.87655,0.61612,1.11994,0.000157762,0.000157762,0.000157762
15,1368.01,0.90523,0.57366,1.11045,0.8592,0.82091,0.89168,0.69472,0.86542,0.60351,1.10999,8.4436e-05,8.4436e-05,8.4436e-05
